organizations,course_title
"['University of California, Irvine']",Data Science Fundamentals Specialization
['University of Toronto'],GIS Data Acquisition and Map Design
['University of Illinois at Urbana-Champaign'],Assessment for Learning
['LearnQuest'],Scrum Master Certification: Scaling Agile and the Team-of-Teams
['Microsoft'],Data Storage in Microsoft Azure
['Politecnico di Milano'],Ethics of Artificial Intelligence
['Michigan State University'],Game Design and Development 1: 2D Shooter
['EIT Digital '],Development of Secure Embedded Systems Specialization
['University of Michigan'],Data Collection and Processing with Python
['University of Michigan'],C Programming for Everybody Specialization
['Rice University'],Python Programming Essentials
['Siemens'],Introduction to Solid Edge
['University of Michigan'],Introduction to CSS3
['University of Michigan'],Ethics in Engineering
['Infosec'],Applied ChatGPT for Cybersecurity
"['IBM ', 'LearnQuest']",IBM COBOL Basics
"['University of London', 'Goldsmiths, University of London']",Introduction to Object-Oriented Programming in C++
['The Hong Kong University of Science and Technology'],Programming with Scratch
['University of Colorado System'],Fundamentals of Computer Network Security Specialization
['Stanford University'],Probabilistic Graphical Models 2: Inference
['SAS'],Structured Query Language (SQL) using SAS
['University of California San Diego'],Human-Centered Design: an Introduction
"['University of California, Davis']",DevOps Culture and Mindset
['Duke University'],Managing Big Data with MySQL
['University of Colorado Boulder'],Design of High-Performance Optical Systems
['The Hong Kong University of Science and Technology'],Software Engineering: Modeling Software Systems using UML
['University of Colorado Boulder'],"Everyday Excel, Part 2"
"['University of California, Davis']",JavaScript Basics
['Board Infinity '],Frontend Development using React
['University of Alberta'],Software Product Management Capstone
['Berklee'],Music for Wellness
['EDUCBA'],Introduction to AutoSAR
['The University of Chicago'],Internet Giants: The Law and Economics of Media Platforms
['Northwestern University'],"Modern Robotics, Course 1:  Foundations of Robot Motion"
['The University of Sydney'],Data-driven Astronomy
['University of Toronto'],Motion Planning for Self-Driving Cars
['Coursera Project Network'],"Prepare, Clean, Transform, and Load Data using Power BI"
['Board Infinity '],Frontend for Java Full Stack Development
['Amazon Web Services'],DevOps on AWS: Release and Deploy
"['University of Colorado Boulder', 'University of Colorado System']",Equivalent Circuit Cell Model Simulation
['Whizlabs'],Selenium WebDriver with Python
['Google Cloud'],Launching into Machine Learning
['Microsoft'],Data Integration with Microsoft Azure Data Factory
['University of Minnesota'],Introduction to UI Design
['University of Glasgow '],Generative Pre-trained Transformers (GPT)
['University of Michigan'],User Experience & Interaction Design for AR/VR/MR/XR
['University of Michigan'],"Applied Plotting, Charting & Data Representation in Python"
['Coursera Project Network'],Open AI for Beginners: Programmatic Prompting
['IBM'],Advanced Data Science Capstone
['University of Michigan'],Intermediate PostgreSQL
['University of Illinois at Urbana-Champaign'],Accounting Data Analytics with Python
['Duke University'],Python Essentials for MLOps
['Board Infinity '],Data Governance with Databricks
['INSEAD'],Introduction to Blockchain for Financial Services
['Google Cloud'],API Design and Fundamentals of Google Cloud's Apigee API Platform
['Microsoft'],Microsoft Azure Machine Learning
['Johns Hopkins University'],Algorithms for DNA Sequencing
['Duke University'],Data Visualization and Communication with Tableau
['University of Colorado Boulder'],FPGA Softcore Processors and IP Acquisition
['Google AR & VR'],VR and 360 Video Production
['Board Infinity '],Introduction to .NET Core
['Meta'],Programming Fundamentals in Swift
['LearnQuest'],Introduction to Object-Oriented Programming with Java
['Meta'],Programming Fundamentals in Kotlin
['Arizona State University'],Python: A Guided Journey from Introduction to Application Specialization
['University of Michigan'],Web Application Technologies and Django
['The Linux Foundation'],"Open Source Software Development, Linux and Git Specialization"
['Coursera Project Network'],Create Your First Automation Script Using Selenium and Java
['University of Illinois at Urbana-Champaign'],Genomics: Decoding the Universal Language of Life
['Whizlabs'],Exam Prep: HashiCorp Certified Terraform Associate (003)
['Coursera Project Network'],Introduction to Relational Database and SQL
['University of Michigan'],"Intro to AR/VR/MR/XR: Technologies, Applications & Issues"
['Amazon Web Services'],Introduction to Designing Data Lakes on AWS
['Board Infinity '],Data Structures & Backend with Java
['Coursera Project Network'],Practical Introduction to the Command Line
"['University of California, Davis']",Distributed Computing with Spark SQL
['Google Cloud'],Production Machine Learning Systems
['DeepLearning.AI'],Browser-based Models with TensorFlow.js
['University of Minnesota'],Enterprise Systems
['UiPath'],RPA Basics and Introduction to UiPath
['IBM'],Data Visualization with R
['Edge Impulse'],Introduction to Embedded Machine Learning
['Imperial College London'],Study Designs in Epidemiology
['Meta'],Data Analysis with Spreadsheets and SQL
['Stanford University'],"Greedy Algorithms, Minimum Spanning Trees, and Dynamic Programming"
['IBM'],Application Security for Developers and DevOps Professionals
['University of Amsterdam'],Inferential Statistics
['Stanford University'],"Shortest Paths Revisited, NP-Complete Problems and What To Do About Them"
['EDHEC Business School'],Advanced Portfolio Construction and Analysis with Python
['Google Cloud'],Developing Data Models with LookML
['University of Michigan'],"UX Research at Scale: Surveys, Analytics, Online Testing"
['Google Cloud'],TensorFlow on Google Cloud
['New York University'],Guided Tour of Machine Learning in Finance
['Amazon Web Services'],DevOps on AWS: Operate and Monitor
['LearnQuest'],Ethics in the Age of AI Specialization
['University of California San Diego'],Introduction to Big Data
['Coursera Project Network'],Testing for Web Accessibility With Accessibility Insights
['University of Minnesota'],Software Development Processes and Methodologies
['Coursera Project Network'],SQL Functions
"['University at Buffalo', 'The State University of New York']",Blockchain Platforms
"['University of California, Davis']",Healthcare Data Literacy
['IBM'],Practice Exam for CompTIA ITF+ Certification
"['University of California, Irvine']",Concurrency in Go
['Microsoft'],Computer Vision in Microsoft Azure
['Nanjing University'],Data Processing Using Python
['University of Illinois at Urbana-Champaign'],IoT Devices
['IBM'],JavaScript Programming Essentials
['University of Michigan'],"Act on Climate: Steps to Individual, Community, and Political Action"
"['The University of North Carolina at Chapel Hill', 'The University of Edinburgh']",Research Data Management and Sharing
['MathWorks'],Introduction to Image Processing
['Duke University'],Decentralized Finance (DeFi) Primitives
['University of Alberta'],Reviews & Metrics for Software Improvements
['University of Colorado System'],Applied Cryptography Specialization
['University of Illinois at Urbana-Champaign'],Data Visualization
['University of Toronto'],Spatial Analysis and Satellite Imagery in a GIS
['University of Michigan'],Design Computing: 3D Modeling in Rhinoceros with Python/Rhinoscript
['Johns Hopkins University'],Applied Calculus with Python
['Scrimba'],Learn TypeScript
['Google Cloud'],Architecting with Google Kubernetes Engine: Workloads
['Johns Hopkins University'],The Data Science of Health Informatics
['SAS'],Practical SAS Programming and Certification Review
['Johns Hopkins University'],Differential Calculus through Data and Modeling Specialization
['Splunk Inc.'],Splunk Search Expert 101
['Rice University'],"Natural Attenuation of Groundwater Contaminants: New Paradigms, Technologies, and Applications"
['University of Illinois at Urbana-Champaign'],Text Mining and Analytics
['University of Toronto'],iOS App Development with Swift Specialization
['University of Pennsylvania'],Robotics: Perception
['Codio'],"C++ Basic Structures: Vectors, Pointers, Strings, and Files"
['Imperial College London'],Probabilistic Deep Learning with TensorFlow 2
['LearnQuest'],Oracle Database Foundations
"['University of Maryland, College Park']",Usable Security
['University of Pennsylvania'],Frontiers in Dentistry
['Johns Hopkins University'],Data and Health Indicators in Public Health Practice
['University of Cape Town'],Julia Scientific Programming
['University of Michigan'],Applied Social Network Analysis in Python
['University of Michigan'],Python Classes and Inheritance
['University of Michigan'],Building Database Applications in PHP
['Coursera Project Network'],Terraform for absolute beginners
['Google'],Google Data Analytics Professional Certificate
['IBM'],"Python for Data Science, AI & Development"
['University of Michigan'],Applied Data Science with Python Specialization
['IBM'],Advanced Data Science with IBM Specialization
['Johns Hopkins University'],Executive Data Science Specialization
['IBM'],Data Science Methodology
['IBM'],Applied Data Science Specialization
['IBM'],Introduction to Data Analytics
"['University of California, Davis']",SQL for Data Science
['DeepLearning.AI'],Mathematics for Machine Learning and Data Science Specialization
['IBM'],Python Project for Data Science
['Johns Hopkins University'],Genomic Data Science Specialization
['IBM'],Databases and SQL for Data Science with Python
['IBM'],IBM Data Engineering Professional Certificate
['IBM'],Data Analysis with Python
['Stanford University'],Introduction to Statistics
"['University of California, Davis']",Learn SQL Basics for Data Science Specialization
['University of Washington'],Data Science at Scale Specialization
['University of Michigan'],Data Science Ethics
['Microsoft'],Microsoft Azure Data Scientist Associate (DP-100)  Professional Certificate
['Databricks'],Data Science with Databricks for Data Analysts Specialization
['Johns Hopkins University'],Advanced Statistics for Data Science Specialization
['University of Michigan'],Introduction to Data Science in Python
['University of Colorado System'],Data Warehousing for Business Intelligence Specialization
['University of Colorado Boulder'],Data Science Foundations: Statistical Inference Specialization
['Eindhoven University of Technology'],Process Mining: Data science in Action
['Johns Hopkins University'],Data Science: Statistics and Machine Learning Specialization
['IBM'],Statistics for Data Science with Python
['MathWorks'],Data Science Companion
['IBM'],Applied Data Science with R Specialization
['DeepLearning.AI'],Calculus for Machine Learning and Data Science
"['University of California, Irvine']",Data Science Fundamentals Specialization
['University of Leeds'],Programming for Data Science
['Google'],Data Analysis with R Programming
['Tableau Learning Partner'],Tableau Business Intelligence Analyst  Professional Certificate
['IBM'],Introduction to Data Engineering
"['University of California, Davis']",Data Visualization with Tableau Specialization
['Google'],Google IT Automation with Python Professional Certificate
['IBM'],Advanced Data Science Capstone
['The University of Edinburgh'],Data Science in Stratified Healthcare and Precision Medicine
['University of California San Diego'],Code Free Data Science
['Fractal Analytics'],Python for Data Science
['DeepLearning.AI'],Linear Algebra for Machine Learning and Data Science
['Coursera Project Network'],Build a Data Science Web App with Streamlit and Python
['University of Colorado System'],Clinical Data Science Specialization
['The Hong Kong University of Science and Technology'],Python and Statistics for Financial Analysis
['Coursera Project Network'],Statistics For Data Science
['Johns Hopkins University'],Data Science in Real Life
['University of Pennsylvania'],Business Analytics Specialization
['Duke University'],"Data Science with NumPy, Sets, and Dictionaries"
['University of Colorado Boulder'],Expressway to Data Science: Python Programming Specialization
['IBM'],IBM Data Analytics with Excel and R Professional Certificate
"['University of California, Santa Cruz']",Bayesian Statistics Specialization
['Johns Hopkins University'],Building a Data Science Team
['University of Illinois at Urbana-Champaign'],Business Analytics Specialization
['Coursera Project Network'],Python for Data Analysis: Pandas & NumPy
['DeepLearning.AI'],Deep Learning Specialization
['IBM'],Introduction to R Programming for Data Science
['University of Michigan'],Data Science for Health Research Specialization
['IBM'],Excel Basics for Data Analysis
['DeepLearning.AI'],Probability & Statistics for Machine Learning & Data Science
['University of Colorado Boulder'],Statistical Modeling for Data Science Applications Specialization
"['EIT Digital ', 'Politecnico di Milano']",Data Science for Business Innovation
['University of Illinois at Urbana-Champaign'],Accelerated Computer Science Fundamentals Specialization
['Databricks'],Applied Data Science for Data Analysts
['SAS'],SAS Statistical Business Analyst Professional Certificate
['University of Michigan'],Statistics with Python Specialization
['Google'],"Foundations: Data, Data, Everywhere"
['IBM'],IBM Machine Learning Professional Certificate
['Johns Hopkins University'],The Data Science of Health Informatics
['Google'],Google Advanced Data Analytics Capstone
['IBM'],Data Science with R - Capstone Project
['Johns Hopkins University'],Tidyverse Skills for Data Science in R Specialization
['University of California San Diego'],Bioinformatics Specialization
['IBM'],Data Engineering Foundations Specialization
['University of Michigan'],Python for Everybody Specialization
['Microsoft'],Microsoft 365 Fundamentals Specialization
['University of Illinois at Urbana-Champaign'],Health Data Science Foundation
['Coursera Project Network'],Exploratory Data Analysis With Python and Pandas
['DeepLearning.AI'],AI For Everyone
['SAS'],SAS Programmer Professional Certificate
['Meta'],Meta Marketing Analytics Professional Certificate
['IBM'],Deep Neural Networks with PyTorch
['University of Colorado Boulder'],Expressway to Data Science: R Programming and Tidyverse Specialization
['Google'],Go Beyond the Numbers: Translate Data into Insights
['Codio'],Data Science and Analysis Tools - from Jupyter to R Markdown Specialization
['University of Amsterdam'],Data Analytics for Lean Six Sigma
"['University of California, Irvine']",Human Resources Analytics
['Duke University'],Introduction to Machine Learning
['Howard University'],Linear Algebra for Data Science Using Python Specialization
['University of Colorado Boulder'],Probability Theory: Foundation for Data Science
['Microsoft'],Microsoft Azure Data Engineering Associate (DP-203) Professional Certificate
['PwC'],Data-driven Decision Making
['PwC'],Data Analysis and Presentation Skills: the PwC Approach Specialization
['Johns Hopkins University'],Python for Genomic Data Science
['IBM'],Generative AI: Elevate Your Data Science Career
['Georgia Institute of Technology'],Materials Data Sciences and Informatics
['Johns Hopkins University'],GPU Programming Specialization
"['IBM', 'SkillUp EdTech']",IBM Business Intelligence (BI) Analyst Professional Certificate
"['University of California, Irvine']",Use Tableau for Your Data Science Workflow Specialization
['Johns Hopkins University'],R Programming
['Google'],"Decisions, Decisions: Dashboards and Reports"
['Microsoft'],Microsoft Azure Data Fundamentals DP-900 Exam Prep Specialization
"['University of California, Irvine']",Leverage Data Science for a More Agile Supply Chain Specialization
['University of Michigan'],Understanding and Visualizing Data with Python
['IBM'],Data Analysis and Visualization Foundations Specialization
['University of Washington'],Computational Neuroscience
['Coursera Project Network'],Data Analysis Using Pyspark
['Johns Hopkins University'],Data Visualization & Dashboarding with R Specialization
['Stanford University'],Probabilistic Graphical Models  Specialization
['Stanford University'],Algorithms Specialization
['University of Toronto'],"GIS, Mapping, and Spatial Analysis Specialization"
['University of Pennsylvania'],Data Analysis Using Python
['IBM'],Generative AI: Prompt Engineering Basics
['Coursera Project Network'],Julia for Beginners in Data Science
['EDHEC Business School'],Investment Management with Python and Machine Learning Specialization
['Coursera Project Network'],Essential Causal Inference Techniques for Data Science
['University of Michigan'],Python 3 Programming Specialization
['Coursera Project Network'],Introduction to Relational Database and SQL
['Google Cloud'],Developing Applications with Google Cloud Specialization
['Duke University'],Data Visualization and Communication with Tableau
['Google'],Get Started with Python
['University of Michigan'],Applied Machine Learning in Python
['University of Toronto'],The Arts and Science of Relationships: Understanding Human Needs
"['The University of North Carolina at Chapel Hill', 'The University of Edinburgh']",Research Data Management and Sharing
['Microsoft'],Perform data science with Azure Databricks
['University of Arizona'],Astronomy: Exploring Time and Space
['Coursera Project Network'],NLP: Twitter Sentiment Analysis
['Google Cloud'],Creating Business Value with Data and Looker Specialization
"['Coursera Project Network', 'W3Schools']",Data Analysis with SQL: Inform a Business Decision
['Johns Hopkins University'],Integral Calculus through Data and Modeling Specialization
['University of Colorado Boulder'],Python Packages for Data Science
['University of Michigan'],Web Applications for Everybody Specialization
"['University of Alberta', 'Alberta Machine Intelligence Institute']",Reinforcement Learning Specialization
['SAS'],SAS Visual Business Analytics Professional Certificate
['Nanjing University'],Data Processing Using Python
['University of Colorado System'],Advanced Clinical Data Science
['Duke University'],"DevOps, DataOps, MLOps"
['University of Michigan'],Data Collection and Processing with Python
['University of Colorado Boulder'],"Algorithms for Searching, Sorting, and Indexing"
['Rice University'],Fundamentals of Computing Specialization
['University of Pennsylvania'],Viral Marketing and How to Craft Contagious Content
['University of Colorado System'],Introduction to Clinical Data Science
['University of California San Diego'],Biology Meets Programming: Bioinformatics for Beginners
"['University of California, Irvine']",The Nature of Data and Relational Database Design
['Duke University'],Programming Fundamentals
['Johns Hopkins University'],Bioconductor for Genomic Data Science
['Johns Hopkins University'],Linear Algebra from Elementary to Advanced Specialization
['Yale University'],Understanding Medical Research: Your Facebook Friend is Wrong
['Dartmouth College'],"Strategic Leadership: Impact, Change, and Decision-Making Specialization"
['University of London'],Machine Learning for All
['University of Michigan'],User Experience Research and Design Specialization
['University of Zurich'],An Intuitive Introduction to Probability
['University of Colorado Boulder'],Statistical Inference and Hypothesis Testing in Data Science Applications
['Yale University'],Narrative Economics
['Coursera Project Network'],Avoiding Data Science Pitfalls
['Duke University'],MLOps | Machine Learning Operations Specialization
['University of Colorado Boulder'],Project Management Specialization
['University of Cape Town'],Julia Scientific Programming
['University of Illinois at Urbana-Champaign'],Deep Learning for Healthcare Specialization
['DeepLearning.AI'],"Sequences, Time Series and Prediction"
['The University of Edinburgh'],"Philosophy, Science and Religion: Philosophy and Religion"
"['DeepLearning.AI', 'Stanford University']",Supervised Machine Learning: Regression and Classification
['Microsoft'],Microsoft Azure Machine Learning
['LearnQuest'],Machine Learning for Supply Chains Specialization
['IBM'],Generative AI: Foundation Models and Platforms
"['University of California, Irvine']",Getting Started with Go
['Johns Hopkins University'],"HTML, CSS, and Javascript for Web Developers"
['Google Cloud'],Advanced Machine Learning on Google Cloud Specialization
['Coursera Project Network'],HR Analytics- Build an HR dashboard using Power BI
['Imperial College London'],TensorFlow 2 for Deep Learning Specialization
['PwC'],Data Visualization with Advanced Excel
['University of Pennsylvania'],A Crash Course in Causality:  Inferring Causal Effects from Observational Data
['Google'],Design a User Experience for Social Good & Prepare for Jobs
['Microsoft'],Microsoft Azure AI Fundamentals AI-900 Exam Prep Specialization
['Microsoft'],Harnessing the Power of Data with Power BI
['University of Leeds'],An Introduction to Programming using Python
['California Institute of the Arts'],Fundamentals of Graphic Design
['Erasmus University Rotterdam'],Econometrics: Methods and Applications
['Meta'],The Full Stack
['Stanford University'],Fundamentals of Machine Learning for Healthcare
['University of Pennsylvania'],Computational Thinking for Problem Solving
['Coursera Project Network'],AutoML tools for data science
['IBM'],Fundamentals of Scalable Data Science
['MathWorks'],Practical Data Science with MATLAB Specialization
['University of Colorado Boulder'],Essential Linear Algebra for Data Science
"['University of California, Davis']",SQL for Data Science Capstone Project
['Johns Hopkins University'],Statistics for Genomic Data Science
['Johns Hopkins University'],Command Line Tools for Genomic Data Science
['Databricks'],Data Science Fundamentals for Data Analysts
['University of Colorado Boulder'],Integral Calculus and Numerical Analysis for Data Science
['Microsoft'],Prepare for DP-100: Data Science on Microsoft Azure Exam
['LearnQuest'],Introduction to Data Science and scikit-learn in Python
"['University of California, Irvine']","Intro to Analytic Thinking, Data Science, and Data Mining"
['Johns Hopkins University'],Advanced Linear Models for Data Science 1: Least Squares
['Johns Hopkins University'],Data Science Capstone
['University of California San Diego'],Genomic Data Science and Clustering (Bioinformatics V)
['MathWorks'],Data Science Project: MATLAB for the Real World
['Johns Hopkins University'],Advanced Linear Models for Data Science 2: Statistical Linear Models
['CertNexus'],Address Business Issues with Data Science
['Johns Hopkins University'],Executive Data Science Capstone
['CertNexus'],Finalize a Data Science Project
['Edureka'],Use Tableau for your Data Science Workflow
['Politecnico di Milano'],Data science perspectives on pandemic management
['University of Washington'],Communicating Data Science Results
['Coursera Project Network'],Introduction to Widgets for Data Science
['Howard University'],Capstone: Data Science Problem in Linear Algebra Framework
['University of Washington'],Data Science at Scale - Capstone Project
['Google'],Google IT Support Professional Certificate
['Vanderbilt University'],Prompt Engineering Specialization
"['DeepLearning.AI', 'Amazon Web Services']",Generative AI with Large Language Models
['IBM'],Information Technology (IT) and Cloud Fundamentals Specialization
"['IBM', 'SkillUp EdTech']",IBM IT Project Manager Professional Certificate
['IBM'],IBM Data Warehouse Engineer Professional Certificate
['IBM'],"BI Foundations with SQL, ETL and Data Warehousing Specialization"
['Google'],Foundations of Cybersecurity
['IBM'],IBM Full-Stack JavaScript Developer Professional Certificate
['Stanford University'],AI in Healthcare Specialization
['DeepLearning.AI'],Generative AI for Everyone
['IBM'],Generative AI Fundamentals Specialization
['IBM'],IBM Back-end JavaScript Developer Professional Certificate
['Meta'],Meta Back-End Developer Professional Certificate
['Vanderbilt University'],Prompt Engineering for ChatGPT
['Google'],Ask Questions to Make Data-Driven Decisions
['IBM'],IBM Introduction to Machine Learning Specialization
"['DeepLearning.AI', 'Stanford University']",Advanced Learning Algorithms
['Google'],Connect and Protect: Networks and Network Security
['DeepLearning.AI'],Neural Networks and Deep Learning
['IBM'],"JavaScript Programming with React, Node & MongoDB Specialization"
['Columbia University'],Construction Management Specialization
['Google'],Prepare Data for Exploration
['Yale University'],Introduction to Psychology
['Amazon Web Services'],DevOps on AWS Specialization
['Duke University'],AI Product Management Specialization
['Google'],Process Data from Dirty to Clean
['Measure What Matters'],OKR Certification: Leadership and Goal Setting
['Google'],Crash Course on Python
['University of Michigan'],Programming for Everybody (Getting Started with Python)
['DeepLearning.AI'],"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization"
['Google'],"Assets, Threats, and Vulnerabilities"
['Microsoft'],Microsoft Azure Fundamentals AZ-900 Exam Prep Specialization
['Google'],Analyze Data to Answer Questions
['DeepLearning.AI'],TensorFlow: Advanced Techniques Specialization
['University of Pennsylvania'],Achieving Personal and Professional Success Specialization
['California Institute of the Arts'],UI / UX Design Specialization
['University of Virginia'],Entrepreneurship: Growing Your Business Specialization
['DeepLearning.AI'],AI for Medicine Specialization
"['University of California, Davis']",Geographic Information Systems  (GIS) Specialization
['Yale University'],Overcoming Dyslexia
['Google Cloud'],Google Professional Workspace Administrator Professional Certificate
['Google'],Sound the Alarm: Detection and Response
"['IBM ', 'LearnQuest']",IBM Mainframe Developer Professional Certificate
['Google'],Share Data Through the Art of Visualization
['IBM'],Generative AI: Introduction and Applications
['DeepLearning.AI'],Convolutional Neural Networks
['University of California San Diego'],Drug Development Product Management Specialization
['Google Cloud'],Machine Learning on Google Cloud Specialization
['Microsoft'],Preparing  Data for Analysis with Microsoft Excel
['DeepLearning.AI'],Structuring Machine Learning Projects
"['University of Maryland, College Park']",Cybersecurity for Everyone
['Vanderbilt University'],MATLAB Programming for Engineers and Scientists Specialization
['DeepLearning.AI'],Sequence Models
['Vanderbilt University'],GPT Vision: Seeing the World through Generative AI
['University of Colorado Boulder'],FPGA Design for Embedded Systems Specialization
['University of Toronto'],Self-Driving Cars Specialization
['Google'],Google Data Analytics Capstone: Complete a Case Study
"['Stanford University', 'The University of British Columbia']",Game Theory
['University of Michigan'],Anatomy Specialization
['The University of Chicago'],Understanding the Brain: The Neurobiology of Everyday Life
"['Google Cloud', 'New York Institute of Finance']",Machine Learning for Trading Specialization
['IBM '],IBM z/OS Mainframe Practitioner Professional Certificate
['University System of Georgia'],Six Sigma Green Belt Specialization
['Vanderbilt University'],Data Management for Clinical Research
['Google'],Put It to Work: Prepare for Cybersecurity Jobs
['Google'],Conduct UX Research and Test Early Concepts
['The University of Sydney'],Introduction to Calculus
['Yale University'],Managing Emotions in Times of Uncertainty & Stress
['University of Colorado Boulder'],Renewable Energy Specialization
['Duke University'],Medical Neuroscience
['University of Michigan'],Python Data Structures
['Vanderbilt University'],Trustworthy Generative AI
['Stanford University'],Child Nutrition and Cooking
['University of Colorado Boulder'],Everyday Excel Specialization
"['Universiteit Leiden', 'Kalshoven-Gieskes Forum']",International Humanitarian Law in Theory and Practice
['Johns Hopkins University'],Health Informatics Specialization
"['University at Buffalo', 'The State University of New York']",Blockchain Specialization
['IBM'],Microsoft Windows Defender and Firewall for Beginners
['Meta'],Programming with JavaScript
['Lund University'],AI & Law
"['University of California, Irvine']",Programming with Google Go Specialization
['University of Colorado Boulder'],Science of Exercise
['IBM'],Data Visualization with Python
['University of Minnesota'],Software Testing and Automation Specialization
['Hebrew University of Jerusalem'],Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course)
"['University of California, Irvine']",An Introduction to Programming the Internet of Things (IOT) Specialization
['University of Virginia'],Digital Product Management: Modern Fundamentals
['University of Colorado Boulder'],Power Electronics Specialization
['University of Manchester   '],Industrial Biotechnology
['Autodesk'],CAD and Digital Manufacturing Specialization
"['University of California, Davis']",Professional Skills for the Workplace Specialization
['EC-Council'],Cybersecurity Attack and Defense Fundamentals Specialization
['IBM'],Exploratory Data Analysis for Machine Learning
['IBM'],Building AI Powered Chatbots Without Programming
['University of Toronto'],Learn to Program: The Fundamentals
['Duke University'],Machine Learning Foundations for Product Managers
['Stanford University'],Introduction to Clinical Data
['Duke University'],Introductory C Programming Specialization
['Microsoft'],Microsoft Azure Developer Associate (AZ-204) Professional Certificate
"['Universiteit Leiden', 'Meertens instituut (KNAW)']",Miracles of Human Language: An Introduction to Linguistics
['LearnQuest'],Core Java Specialization
['University of Illinois at Urbana-Champaign'],Object-Oriented Data Structures in C++
['Stanford University'],Introduction to Mathematical Thinking
['DeepLearning.AI'],Convolutional Neural Networks in TensorFlow
['The Hong Kong University of Science and Technology'],Mathematics for Engineers Specialization
['LearnQuest'],Learning Linux for LFCA Certification Specialization
['University of California San Diego'],Interaction Design Specialization
['Duke University'],Rust Programming Specialization
['University of Michigan'],PostgreSQL for Everybody Specialization
['Arizona State University'],Design of Experiments Specialization
['Columbia University'],Economics of Money and Banking
['Duke University'],Decentralized Finance (DeFi): The Future of Finance Specialization
['Duke University'],Electric Industry Operations and Markets
['University of Colorado System'],C# Programming for Unity Game Development Specialization
['IIMA - IIM Ahmedabad'],Pre-MBA Statistics
['Georgia Institute of Technology'],Introduction to User Experience Design
['IBM'],Hands-on Introduction to Linux Commands and Shell Scripting
['Board Infinity '],Java FullStack Developer Specialization
"['University of Alberta', 'Alberta Machine Intelligence Institute']",Fundamentals of Reinforcement Learning
['Johns Hopkins University'],Cancer Biology Specialization
['The University of Sydney'],Positive Psychiatry and Mental Health
['Politecnico di Milano'],Artificial Intelligence: an Overview Specialization
['Yale University'],Moral Foundations of Politics
['University of Minnesota'],Software Development Lifecycle Specialization
['University of Michigan'],Using Python to Access Web Data
['University of Michigan'],Leading Diverse Teams & Organizations
['University of Washington'],Machine Learning Specialization
['IBM'],Introduction to Deep Learning & Neural Networks with Keras
['Microsoft'],"Extract, Transform and Load Data in Power BI"
['Codio'],Programming in C++: A Hands-on Introduction Specialization
['University of Michigan'],Python Basics
"['University of California, Davis']",Fundamentals of GIS
['University of Pennsylvania'],Vital Signs: Understanding What the Body Is Telling Us
['Meta'],React Basics
['Autodesk'],Autodesk CAD/CAM for Manufacturing Specialization
['DeepLearning.AI'],AI for Medical Diagnosis
['Stanford University'],Cryptography I
['Vanderbilt University'],Introduction to Programming with MATLAB
['University of Michigan'],Django for Everybody Specialization
['DeepLearning.AI'],Machine Learning Modeling Pipelines in Production
['Imperial College London'],Epidemiology for Public Health Specialization
['Meta'],HTML and CSS in depth
['University of Alberta'],Dino 101: Dinosaur Paleobiology
['Stanford University'],Understanding Einstein: The Special Theory of Relativity
['IBM'],Introduction to Computer Vision and Image Processing
['UiPath'],Robotic Process Automation (RPA) Specialization
['Case Western Reserve University'],Inspired Leadership Specialization
['California Institute of the Arts'],Visual Elements of User Interface Design
"['The State University of New York', 'University at Buffalo']",Digital Manufacturing & Design Technology  Specialization
['Northwestern University'],"Modern Robotics:  Mechanics, Planning, and Control Specialization"
['Microsoft'],Data Analysis and Visualization with Power BI
['Stanford University'],"Divide and Conquer, Sorting and Searching, and Randomized Algorithms"
['University of Illinois at Urbana-Champaign'],Innovation: From Creativity to Entrepreneurship Specialization
['University of Toronto'],Plant Bioinformatic Methods Specialization
"['University of London', 'SOAS University of London']",Global Diplomacy: the United Nations in the World
['Stanford University'],Evaluations of AI Applications in Healthcare
['Google Cloud'],Google Cloud Big Data and Machine Learning Fundamentals
['Microsoft'],Work Smarter with Microsoft PowerPoint
['MedCerts'],Medical Terminology and the Human Body Fundamentals
['University of Colorado Boulder'],Real-Time Embedded Systems Specialization
['Microsoft'],Data Modeling in Power BI
['Duke University'],Applied Python Data Engineering Specialization
['DeepLearning.AI'],Deploying Machine Learning Models in Production
"['University of California, Davis']",Google SEO Fundamentals
['IBM'],Developing Front-End Apps with React
['Queen Mary University of London'],Market Research Specialization
['The Hong Kong University of Science and Technology'],"Information Systems Auditing, Controls and Assurance"
['UNSW Sydney (The University of New South Wales)'],Introduction to Systems Engineering
['IBM'],Python Project for Data Engineering
['Duke University'],Python Programming Fundamentals
['Rice University'],Introduction to Scripting in Python Specialization
['LearnQuest'],Oracle SQL Databases Specialization
['University of California San Diego'],Object Oriented Java Programming: Data Structures and Beyond Specialization
"['University of London', 'SOAS University of London']",Understanding Research Methods
['University of Glasgow '],Diversity and Inclusion in Education
"['University of California, Davis']",Health Information Literacy for Data Analytics Specialization
['Google Cloud'],Developing APIs with Google Cloud's Apigee API Platform Specialization
"['University of California, Davis']",Introduction to Web Development
['University of Colorado Boulder'],Spacecraft Dynamics and Control Specialization
['University of Illinois at Urbana-Champaign'],Accounting Data Analytics Specialization
