course_title,domain,level,course_type,schedule,course_url,duration,rating
Introduction to TCP/IP,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/tcpip,Approx. 7 hours to complete,4.6
Interactive Computer Graphics,Computer Science,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/interactive-computer-graphics,Approx. 27 hours to complete,4.1
Get Started with Figma,Computer Science,Beginner level,Guided Project,,https://www.coursera.org/projects/get-started-figma,1.5 hours,4.2
Introduction to Mathematical Thinking,Computer Science,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/mathematical-thinking,Approx. 38 hours to complete,4.8
Software Testing and Automation Specialization,Computer Science,Intermediate level,Specializations,Flexible schedule,https://www.coursera.org/specializations/software-testing-automation,2 months at 10 hours a week,4.2
Microsoft 365 Fundamentals Specialization,Computer Science,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/microsoft-365-fundamentals,2 months at 10 hours a week,4.7
Information Technology (IT) Fundamentals for Everyone,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/information-technology-it-fundamentals-for-everyone,18 hours (approximately),4.6
Programming Fundamentals,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/programming-fundamentals,18 hours (approximately),4.7
Foundations of Cybersecurity,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/foundations-of-cybersecurity,21 hours (approximately),4.9
Introduction to Python,Computer Science,Beginner level,Guided Project,,https://www.coursera.org/projects/introduction-to-python,,4.5
Introduction to Calculus,Computer Science,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/introduction-to-calculus,Approx. 58 hours to complete,4.8
Introduction to Statistics,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/stanford-statistics,Approx. 14 hours to complete,4.6
Cybersecurity for Everyone,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/cybersecurity-for-everyone,Approx. 21 hours to complete,4.7
An Introduction to Programming the Internet of Things (IOT) Specialization,Computer Science,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/iot,2 months at 10 hours a week,4.7
Introduction to Machine Learning,Computer Science,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/machine-learning-duke,Approx. 25 hours to complete,4.7
Computational Neuroscience,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/computational-neuroscience,Approx. 26 hours to complete,4.6
Python and Pandas for Data Engineering,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/python-and-pandas-for-data-engineering-duke,41 hours (approximately),4.6
Build a Full Website using WordPress,Computer Science,Advanced level,Guided Project,,https://www.coursera.org/projects/build-a-full-website-using-wordpress,2 hours,4.4
Cybersecurity Foundations Specialization,Computer Science,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/cybersecurity-foundations,1 months at 10 hours a week,4.8
Programming in C++: A Hands-on Introduction Specialization,Computer Science,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/hands-on-cpp,1 months at 10 hours a week,4.6
Mathematics for Engineers Specialization,Computer Science,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/mathematics-engineers,3 months at 10 hours a week,4.9
Introduction to Computers and Office Productivity Software,Computer Science,,Course,Flexible schedule,https://www.coursera.org/learn/introduction-to-computers-and-office-productivity-software,Approx. 15 hours to complete,4.7
Introduction to Data Analytics,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/introduction-to-data-analytics,10 hours (approximately),4.8
SAS Programmer Professional Certificate,Computer Science,Beginner level,Professional Certificates,Flexible schedule,https://www.coursera.org/professional-certificates/sas-programming,2 months at 10 hours a week,4.8
Information Technology (IT) and Cloud Fundamentals Specialization,Computer Science,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/it-cloud-fundamentals,2 months at 10 hours a week,4.8
IBM Data Engineering Professional Certificate,Computer Science,Beginner level,Professional Certificates,Flexible schedule,https://www.coursera.org/professional-certificates/ibm-data-engineer,5 months at 10 hours a week,4.6
Python Data Structures,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/python-data,19 hours (approximately),4.9
Cryptography I,Computer Science,,Course,Flexible schedule,https://www.coursera.org/learn/crypto,Approx. 23 hours to complete,4.8
Computer Hardware and Software,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/computer-hardware-software,11 hours (approximately),4.4
Web Applications for Everybody Specialization,Computer Science,Intermediate level,Specializations,Flexible schedule,https://www.coursera.org/specializations/web-applications,2 months at 10 hours a week,4.8
C++ Basics: Selection and Iteration,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/codio-cpp-basics,8 hours (approximately),4.6
IBM Back-end JavaScript Developer Professional Certificate,Computer Science,Beginner level,Professional Certificates,Flexible schedule,https://www.coursera.org/professional-certificates/backend-javascript-developer,5 months at 10 hours a week,4.8
Introduction to Back-End Development,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/introduction-to-back-end-development,18 hours (approximately),4.8
"Problem Solving, Python Programming, and Video Games",Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/problem-solving-programming-video-games,Approx. 80 hours to complete,4.3
Data Science: Statistics and Machine Learning Specialization,Computer Science,Intermediate level,Specializations,Flexible schedule,https://www.coursera.org/specializations/data-science-statistics-machine-learning,3 months at 10 hours a week,4.6
Developing Front-End Apps with React,Computer Science,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/developing-frontend-apps-with-react,14 hours (approximately),4.3
Practical Data Science with MATLAB Specialization,Computer Science,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/practical-data-science-matlab,2 months at 4 hours a week,4.8
AI Product Management Specialization,Computer Science,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/ai-product-management-duke,4 months at 5 hours a week,4.7
Data Science Foundations: Statistical Inference Specialization,Computer Science,Intermediate level,Specializations,Flexible schedule,https://www.coursera.org/specializations/statistical-inference-for-data-science-applications,3 months at 10 hours a week,4.3
Accounting Data Analytics Specialization,Computer Science,Intermediate level,Specializations,Flexible schedule,https://www.coursera.org/specializations/accounting-data-analytics,4 months at 10 hours a week,4.6
Clinical Data Science Specialization,Computer Science,Intermediate level,Specializations,Flexible schedule,https://www.coursera.org/specializations/clinical-data-science,2 months at 10 hours a week,4.4
Python Programming Fundamentals,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/python-programming-fundamentals,Approx. 23 hours to complete,3.4
R Programming,Computer Science,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/r-programming,57 hours (approximately),4.5
Getting Started with R,Computer Science,Beginner level,Guided Project,,https://www.coursera.org/projects/getting-started-with-r,2 hours,4.3
Introduction to APIs in Google,Computer Science,Beginner level,Project,,https://www.coursera.org/projects/googlecloud-introduction-to-apis-in-google-ouacp,,3.3
Advanced Embedded Linux Development Specialization,Computer Science,Intermediate level,Specializations,Flexible schedule,https://www.coursera.org/specializations/advanced-embedded-linux-development,4 months at 15 hours a week,4.3
Start Your API Testing Journey With Postman Tool,Computer Science,Beginner level,Guided Project,,https://www.coursera.org/projects/start-your-api-testing-journey-with-postman-tool,,4.7
Web Design for Everybody: Basics of Web Development & Coding Specialization,Computer Science,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/web-design,2 months at 10 hours a week,4.8
Introduction to Java,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/java-introduction,11 hours (approximately),4.6
Introduction to Quantum Information,Computer Science,Advanced level,Course,Flexible schedule,https://www.coursera.org/learn/introduction-to-quantum-information,Approx. 11 hours to complete,4.2
Business Writing,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/writing-for-business,12 hours (approximately),4.8
"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",Computer Science,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/algorithms-divide-conquer,16 hours (approximately),4.8
Investment Management with Python and Machine Learning Specialization,Computer Science,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/investment-management-python-machine-learning,2 months at 10 hours a week,4.5
SAS Advanced Programmer Professional Certificate,Computer Science,Intermediate level,Professional Certificates,Flexible schedule,https://www.coursera.org/professional-certificates/sas-advanced-programmer,2 months at 10 hours a week,4.8
IBM Data Analytics with Excel and R Professional Certificate,Computer Science,Beginner level,Professional Certificates,Flexible schedule,https://www.coursera.org/professional-certificates/ibm-data-analyst-r-excel,3 months at 10 hours a week,4.7
Introduction to Philosophy,Computer Science,,Course,Flexible schedule,https://www.coursera.org/learn/philosophy,Approx. 19 hours to complete,4.7
Object-Oriented Data Structures in C++,Computer Science,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/cs-fundamentals-1,21 hours (approximately),4.7
"Assets, Threats, and Vulnerabilities",Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/assets-threats-and-vulnerabilities,26 hours (approximately),4.8
Get Started with Python,Computer Science,Advanced level,Course,Flexible schedule,https://www.coursera.org/learn/get-started-with-python,30 hours (approximately),4.8
APIs,Computer Science,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/apis,20 hours (approximately),4.5
IBM Business Intelligence (BI) Analyst Professional Certificate,Computer Science,Beginner level,Professional Certificates,Flexible schedule,https://www.coursera.org/professional-certificates/bi-analyst,,4.9
Supply Chain Management: A Learning Perspective,Computer Science,,Course,Flexible schedule,https://www.coursera.org/learn/supply-chain-management,Approx. 17 hours to complete,4.7
PostgreSQL for Everybody Specialization,Computer Science,Intermediate level,Specializations,Flexible schedule,https://www.coursera.org/specializations/postgresql-for-everybody,1 months at 10 hours a week,4.7
An Introduction to Programming using Python,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/an-introduction-to-programming-using-python,Approx. 9 hours to complete,4.7
Programming for Everybody (Getting Started with Python),Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/python,19 hours (approximately),4.8
Google Workspace Mail Management,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/google-workspace-mail-management,4 hours (approximately),4.8
Graphic Design,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/presentation-design,29 hours (approximately),4.8
Agile with Atlassian Jira,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/agile-atlassian-jira,Approx. 12 hours to complete,4.7
Introduction to Logic,Computer Science,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/logic-introduction,Approx. 47 hours to complete,4.4
Introduction to Github and Visual Studio Code,Computer Science,Beginner level,Guided Project,,https://www.coursera.org/projects/github-visual-studio-code-desktop,1 hour,4.3
Data Management for Clinical Research,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/clinical-data-management,Approx. 17 hours to complete,4.7
Google Chrome Security and Extensions for Beginners,Computer Science,Beginner level,Guided Project,,https://www.coursera.org/projects/google-chrome-security-and-extensions-for-beginners,1 hour,
Fundamental Skills in Engineering Design,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/fundamental-skills-in-engineering-design,Approx. 6 hours to complete,4.7
Communication Strategies for a Virtual Age,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/communication-strategies-virtual-age,Approx. 7 hours to complete,4.8
AstroTech: The Science and Technology behind Astronomical Discovery,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/astronomy-technology,Approx. 6 hours to complete,4.7
Exam Prep MLS-C01: AWS Certified Specialty Machine Learning Specialization,Computer Science,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/exam-prep-mls-c01-aws-certified-machine-learning-specialty,1 months at 10 hours a week,
Introduction and Programming with IoT Boards,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/introduction-iot-boards,Approx. 7 hours to complete,4.6
Build a Modern Computer from First Principles: Nand to Tetris Part II (project-centered course),Computer Science,,Course,Flexible schedule,https://www.coursera.org/learn/nand2tetris2,Approx. 89 hours to complete,4.9
Neural Networks and Deep Learning,Computer Science,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/neural-networks-deep-learning,24 hours (approximately),4.9
Introduction to Business Analytics and Information Economics Specialization,Computer Science,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/analytics-information,1 months at 10 hours a week,4.7
Data Mining Foundations and Practice Specialization,Computer Science,Intermediate level,Specializations,Flexible schedule,https://www.coursera.org/specializations/data-mining-foundations-practice,2 months at 10 hours a week,3.6
Object Oriented Programming in Java,Computer Science,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/object-oriented-java,39 hours (approximately),4.7
Data Visualization & Dashboarding with R Specialization,Computer Science,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/jhu-data-visualization-dashboarding-with-r,2 months at 10 hours a week,4.9
Introduction to Programming,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/ball-state-university-introduction-to-programming-open-content,Approx. 19 hours to complete,
Learn to Program: Crafting Quality Code,Computer Science,,Course,Flexible schedule,https://www.coursera.org/learn/program-code,Approx. 13 hours to complete,4.6
International Cyber Conflicts,Computer Science,,Course,Flexible schedule,https://www.coursera.org/learn/cyber-conflicts,Approx. 8 hours to complete,4.5
Software Defined Networking,Computer Science,,Course,Flexible schedule,https://www.coursera.org/learn/sdn,Approx. 56 hours to complete,4.6
Introduction to Junos OS Specialization,Computer Science,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/junos,1 months at 10 hours a week,4.8
Introduction to Front-End Development,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/introduction-to-front-end-development,18 hours (approximately),4.8
Introduction to Programming,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/programming-introduction,Approx. 36 hours to complete,4.5
Introduction to FPGA Design for Embedded Systems,Computer Science,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/intro-fpga-design-embedded-systems,18 hours (approximately),4.6
Data Analysis Using Python,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/data-analysis-python,16 hours (approximately),4.5
Programming for a Networked World,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/programming-for-a-networked-world,Approx. 24 hours to complete,
Advanced Django: Mastering Django and Django Rest Framework Specialization,Computer Science,Advanced level,Specializations,Flexible schedule,https://www.coursera.org/specializations/codio-advanced-django-and-django-rest-framework,1 months at 10 hours a week,4.6
Digital Footprint,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/digital-footprint,Approx. 8 hours to complete,4.6
Introduction to Data Science in Python,Computer Science,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/python-data-analysis,34 hours (approximately),4.5
Advanced Learning Algorithms,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/advanced-learning-algorithms,34 hours (approximately),4.9
Introduction to Robotics with Webots Specialization,Computer Science,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/introduction-robotics-webots,3 months at 9 hours a week,4.7
The Full Stack,Computer Science,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/the-full-stack,24 hours (approximately),4.6
Getting Started with Data Visualization in R,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/jhu-getting-started-data-viz-r,11 hours (approximately),4.7
AI & Law,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/ai-law,Approx. 21 hours to complete,4.7
Precalculus: Relations and Functions,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/precalculus-relations-functions,11 hours (approximately),4.7
Explore Core Data Concepts in Microsoft Azure,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/explore-core-data-concepts-microsoft-azure,8 hours (approximately),4.8
Introduction to Accounting Data Analytics and Visualization,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/intro-accounting-data-analytics-visual,20 hours (approximately),4.8
Real-World Cloud Product Management Specialization,Computer Science,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/real-world-cloud-pm,1 months at 10 hours a week,4.8
Data Analysis with Python,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/data-analysis-with-python,15 hours (approximately),4.7
Coding Interview Preparation,Computer Science,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/coding-interview-preparation,11 hours (approximately),4.7
"C++ For C Programmers, Part A",Computer Science,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/c-plus-plus-a,13 hours (approximately),4.4
Genomic Data Science Specialization,Computer Science,Intermediate level,Specializations,Flexible schedule,https://www.coursera.org/specializations/genomic-data-science,1 months at 10 hours a week,4.4
Databases and SQL for Data Science with Python,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/sql-data-science,20 hours (approximately),4.6
Applied Data Science with Python Specialization,Computer Science,Intermediate level,Specializations,Flexible schedule,https://www.coursera.org/specializations/data-science-python,4 months at 10 hours a week,4.5
"Introduction to Software, Programming, and Databases",Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/introduction-software-programming-and-databases,18 hours (approximately),4.7
Python Project for Data Science,Computer Science,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/python-project-for-data-science,8 hours (approximately),4.5
Full Stack Software Developer Assessment,Computer Science,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/full-stack-software-developer-assessment,6 hours (approximately),4.7
Deep Learning Specialization,Computer Science,Intermediate level,Specializations,Flexible schedule,https://www.coursera.org/specializations/deep-learning,3 months at 10 hours a week,4.9
Generative AI: Introduction and Applications,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/generative-ai-introduction-and-applications,6 hours (approximately),4.7
Advanced Data Science with IBM Specialization,Computer Science,Advanced level,Specializations,Flexible schedule,https://www.coursera.org/specializations/advanced-data-science-ibm,2 months at 10 hours a week,4.4
"Internet History, Technology, and Security",Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/internet-history,Approx. 15 hours to complete,4.8
SQL for Data Science,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/sql-for-data-science,18 hours (approximately),4.6
Applied Data Science Specialization,Computer Science,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/applied-data-science,2 months at 10 hours a week,4.6
Python Basics,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/python-basics,34 hours (approximately),4.8
Google Professional Workspace Administrator Professional Certificate,Computer Science,Beginner level,Professional Certificates,Flexible schedule,https://www.coursera.org/professional-certificates/g-suite-administration,1 months at 10 hours a week,4.7
Getting Started with Git and GitHub,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/getting-started-with-git-and-github,10 hours (approximately),4.6
AI For Everyone,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/ai-for-everyone,Approx. 6 hours to complete,4.8
Introduction to R Programming for Data Science,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/introducton-r-programming-data-science,10 hours (approximately),4.5
Blockchain Specialization,Computer Science,Intermediate level,Specializations,Flexible schedule,https://www.coursera.org/specializations/blockchain,2 months at 10 hours a week,4.6
GPU Programming Specialization,Computer Science,Intermediate level,Specializations,Flexible schedule,https://www.coursera.org/specializations/gpu-programming,2 months at 10 hours a week,
Astronomy: Exploring Time and Space,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/astro,Approx. 43 hours to complete,4.8
Python 3 Programming Specialization,Computer Science,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/python-3-programming,3 months at 10 hours a week,4.7
.Net Full Stack Foundation,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/dot-net-full-stack-foundation,16 hours (approximately),4.1
First Principles of Computer Vision Specialization,Computer Science,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/firstprinciplesofcomputervision,2 months at 10 hours a week,4.8
Bioinformatics Specialization,Computer Science,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/bioinformatics,3 months at 10 hours a week,4.4
Data Structures,Computer Science,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/data-structures,24 hours (approximately),4.6
Construction Management Specialization,Computer Science,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/construction-management,2 months at 10 hours a week,4.8
Learn JavaScript,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/learn-javascript,Approx. 10 hours to complete,4.8
Meta AR Developer  Professional Certificate,Computer Science,Intermediate level,Professional Certificates,Flexible schedule,https://www.coursera.org/professional-certificates/meta-ar-developer,3 months at 10 hours a week,4.6
Programming with JavaScript,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/programming-with-javascript,42 hours (approximately),4.7
Introduction to Google Workspace Administration,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/introduction-google-workspace,4 hours (approximately),4.7
Software Product Management Specialization,Computer Science,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/product-management,2 months at 10 hours a week,4.7
Introduction to Genetics and Evolution,Computer Science,,Course,Flexible schedule,https://www.coursera.org/learn/genetics-evolution,Approx. 25 hours to complete,4.8
C for Everyone: Structured Programming,Computer Science,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/c-structured-programming,9 hours (approximately),4.6
IBM Mainframe Developer Professional Certificate,Computer Science,Intermediate level,Professional Certificates,Flexible schedule,https://www.coursera.org/professional-certificates/ibm-mainframe-developer,3 months at 10 hours a week,4.3
C# for .NET Developers,Computer Science,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/c-sharp-for-dot-net,16 hours (approximately),4
Developing Applications with Google Cloud Specialization,Computer Science,Intermediate level,Specializations,Flexible schedule,https://www.coursera.org/specializations/developing-apps-gcp,1 months at 10 hours a week,4.7
Biology Meets Programming: Bioinformatics for Beginners,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/bioinformatics,Approx. 18 hours to complete,4.2
MATLAB Programming for Engineers and Scientists Specialization,Computer Science,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/matlab-programming-engineers-scientists,3 months at 10 hours a week,4.8
Programming with Google Go Specialization,Computer Science,Intermediate level,Specializations,Flexible schedule,https://www.coursera.org/specializations/google-golang,1 months at 10 hours a week,4.6
Data Analysis with R Programming,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/data-analysis-r,36 hours (approximately),4.8
Applied Text Mining in Python,Computer Science,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/python-text-mining,25 hours (approximately),4.2
Connect and Protect: Networks and Network Security,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/networks-and-network-security,14 hours (approximately),4.8
Machine Learning for All,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/uol-machine-learning-for-all,Approx. 21 hours to complete,4.7
Google Workspace Security,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/google-workspace-security,4 hours (approximately),4.7
Introduction to Agile Development and Scrum,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/agile-development-and-scrum,9 hours (approximately),4.9
Architecting with Google Kubernetes Engine: Foundations,Computer Science,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/foundations-google-kubernetes-engine-gke,8 hours (approximately),4.7
Introduction to Model-Based Systems Engineering,Computer Science,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/introduction-mbse,Approx. 16 hours to complete,4.1
Embedded Software and Hardware Architecture,Computer Science,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/embedded-software-hardware,Approx. 4 hours to complete,4.5
Microsoft Azure Fundamentals AZ-900 Exam Prep Specialization,Computer Science,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/microsoft-azure-fundamentals-az-900,1 months at 10 hours a week,4.6
Mathematics for Machine Learning and Data Science Specialization,Computer Science,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/mathematics-for-machine-learning-and-data-science,3 months at 5 hours a week,4.6
Data Engineering Foundations Specialization,Computer Science,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/data-engineering-foundations,2 months at 10 hours a week,4.7
Data Analysis and Visualization Foundations Specialization,Computer Science,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/data-analysis-visualization-foundations,1 months at 10 hours a week,4.8
Generative AI with Large Language Models,Computer Science,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/generative-ai-with-llms,Approx. 16 hours to complete,4.8
IBM IT Project Manager Professional Certificate,Computer Science,Beginner level,Professional Certificates,Flexible schedule,https://www.coursera.org/professional-certificates/ibm-it-project-manager,4 months at 10 hours a week,4.8
